2	2.710660	-0.007205	0.000000	-0.007205
2	2.710660	-0.000443	0.000000	-0.000443
2	2.710660	0.000625	0.000000	0.000625
2	2.710660	-0.013657	-0.000000	-0.013657
2	2.710660	-0.014402	0.000000	-0.014402
2	2.710660	0.011397	0.000000	0.011397
2	2.710660	-0.007547	-0.000000	-0.007547
2	2.710660	-0.012795	0.000000	-0.012795
2	2.710660	-0.017360	-0.000000	-0.017360
2	2.710660	0.016902	0.000000	0.016902
2	3.130000	-0.012060	0.000000	-0.012060
2	3.130000	0.008251	0.000000	0.008251
2	3.130000	0.008333	0.000000	0.008333
2	3.130000	0.001576	-0.000000	0.001576
2	3.130000	0.007236	0.000000	0.007236
2	3.130000	0.032322	0.000000	0.032322
2	3.130000	-0.017889	-0.000000	-0.017889
2	3.130000	-0.004607	0.000000	-0.004607
2	3.130000	-0.024692	-0.000000	-0.024692
2	3.130000	0.002764	0.000000	0.002764
2	4.426488	0.017210	0.000000	0.017210
2	4.426488	-0.003608	0.000000	-0.003608
2	4.426488	-0.006250	0.000000	-0.006250
2	4.426488	0.003576	-0.000000	0.003576
2	4.426488	-0.004296	0.000000	-0.004296
2	4.426488	-0.000239	0.000000	-0.000239
2	4.426488	0.000186	-0.000000	0.000186
2	4.426488	-0.008877	0.000000	-0.008877
2	4.426488	-0.002668	-0.000000	-0.002668
2	4.426488	0.007630	0.000000	0.007630
3	3.130000	0.001234	0.000000	0.001234
3	3.130000	0.004443	0.000000	0.004443
3	3.130000	0.001398	0.000000	0.001398
3	3.130000	-0.000135	-0.000000	-0.000135
3	3.130000	-0.001228	0.000000	-0.001228
3	3.130000	0.000579	0.000000	0.000579
3	3.130000	0.002378	0.000000	0.002378
3	3.130000	-0.000839	-0.000000	-0.000839
3	3.130000	-0.000318	0.000000	-0.000318
3	3.130000	0.002487	0.000000	0.002487
3	3.130000	-0.001398	0.000000	-0.001398
3	3.130000	0.001394	-0.000000	0.001394
3	3.130000	-0.000052	-0.000000	-0.000052
3	3.130000	0.004328	-0.000000	0.004328
3	3.130000	0.001469	-0.000000	0.001469
3	3.130000	-0.003147	0.000000	-0.003147
3	3.130000	0.005089	0.000000	0.005089
3	3.130000	-0.008200	0.000000	-0.008200
3	3.130000	-0.002435	-0.000000	-0.002435
3	3.130000	-0.003566	0.000000	-0.003566
3	3.130000	-0.003520	0.000000	-0.003520
3	3.130000	0.002342	-0.000000	0.002342
3	3.130000	-0.004774	0.000000	-0.004774
3	3.130000	-0.000573	0.000000	-0.000573
3	3.130000	0.008398	-0.000000	0.008398
3	3.130000	0.008674	-0.000000	0.008674
3	3.130000	-0.000839	-0.000000	-0.000839
3	3.130000	-0.004186	0.000000	-0.004186
3	3.130000	-0.002182	0.000000	-0.002182
3	3.130000	0.001647	-0.000000	0.001647
3	3.130000	-0.001501	0.000000	-0.001501
3	3.130000	-0.000881	-0.000000	-0.000881
3	3.130000	-0.012276	0.000000	-0.012276
3	3.130000	0.003622	-0.000000	0.003622
3	3.130000	0.007127	-0.000000	0.007127
3	3.130000	0.004213	0.000000	0.004213
3	3.130000	0.004357	0.000000	0.004357
3	3.130000	0.003401	0.000000	0.003401
3	3.130000	-0.004880	0.000000	-0.004880
3	3.130000	-0.002204	-0.000000	-0.002204
Objective_function= -1.994224
